=====measurements=====
|t|ch1|ch2|ch3|ch4|ch5|ch6|
0,0i?????.777
6595,-0.2430,0.777
6608,-0.4164,0.777
6624,-0.5758,0.777
6641,-0.7242,0.777
6667,-0.8382,0.777
6674,-0.9285,0.777
6690,-0.9808,0.777
6706,-1.0000,0.777
6725,-0.9831,0.777
6739,-0.9285,0.777
6755,-0.8382,0.777
6772,-0.7242,0.777
6789,-0.5758,0.777
6812,-0.4164,0.777
6821,-0.2311,0.777
6837,0.0858,0.777
6852,0.2667,0.777
6873,0.4276,0.777
6883,0.5758,0.777
6904,0.7157,0.777
6913,0.8246,0.777
6940,0.9142,0.777
6944,0.9700,0.777
6958,0.9973,0.777
6974,0.9939,0.777
6989,0.9604,0.777
7004,0.8932,0.777
7020,0.8032,0.777
7035,0.6806,0.777
7050,0.5453,0.777
7065,0.3827,0.777
7081,0.2191,0.777
7096,0.0368,0.777
7111,-0.1346,0.777
7127,-0.3253,0.777
7144,-0.4929,0.777
7164,-0.6532,0.777
7176,-0.7807,0.777
7192,-0.8876,0.777
7209,-0.9569,0.777
7225,-0.9952,0.777
7242,-0.9963,0.777
7258,-0.9604,0.777
7279,-0.8876,0.777
7291,-0.7883,0.777
7309,-0.6532,0.777
7324,-0.5035,0.777
7346,-0.3253,0.777
7356,-0.1467,0.777
7373,0.1830,0.777
7388,0.3484,0.777
7403,0.5141,0.777
7418,0.6532,0.777
7433,0.7730,0.777
7448,0.8761,0.777
7466,0.9456,0.777
7479,0.9873,0.777
7501,0.9997,0.777
7510,0.9783,0.777
7525,0.9285,0.777
7540,0.8449,0.777
7560,0.7410,0.777
7571,0.6055,0.777
7586,0.4605,0.777
7601,0.2903,0.777
7616,0.1224,0.777
7632,-0.0491,0.777
7654,-0.2430,0.777
7664,-0.4164,0.777
7685,-0.5858,0.777
7697,-0.7242,0.777
7713,-0.8449,0.777
7730,-0.9285,0.777
7746,-0.9831,0.777
7762,-1.0000,0.777
7778,-0.9808,0.777
7795,-0.9239,0.777
7823,-0.8382,0.777
7828,-0.7157,0.777
7844,-0.5758,0.777
7860,-0.4052,0.777
7877,-0.2311,0.777
7893,0.0980,0.777
7908,0.2667,0.777
7924,0.4386,0.777
7939,0.5858,0.777
7954,0.7242,0.777
7970,0.8315,0.777
7984,0.9142,0.777
8001,0.9729,0.777
8014,0.9981,0.777
8030,0.9939,0.777
8045,0.9569,0.777
8060,0.8876,0.777
8076,0.7958,0.777
8094,0.6716,0.777
8106,0.5350,0.777
8122,0.3713,0.777
8137,0.2071,0.777
8152,0.0245,0.777
8167,-0.1467,0.777
8188,-0.3369,0.777
8200,-0.5035,0.777
8216,-0.6624,0.777
8232,-0.7883,0.777
8249,-0.8932,0.777
8265,-0.9604,0.777
8286,-0.9963,0.777
8298,-0.9952,0.777
8314,-0.9569,0.777
8330,-0.8876,0.777
8347,-0.7807,0.777
8364,-0.6438,0.777
8380,-0.4929,0.777
8396,-0.3137,0.777
8413,0.0000,0.777
8426,0.1589,0.777
8442,0.3369,0.777
8457,0.4929,0.777
8472,0.6438,0.777
8487,0.7652,0.777
8502,0.8640,0.777
8517,0.9415,0.777
8533,0.9853,0.777
8548,0.9999,0.777
8564,0.9831,0.777
8579,0.9330,0.777
8594,0.8514,0.777
8609,0.7491,0.777
8625,0.6152,0.777
8640,0.4714,0.777
8658,0.3137,0.777
8670,0.1346,0.777
8685,-0.0368,0.777
8702,-0.2311,0.777
8722,-0.4052,0.777
8734,-0.5758,0.777
8750,-0.7157,0.777
8767,-0.8382,0.777
8783,-0.9239,0.777
8799,-0.9808,0.777
8816,-0.9999,0.777
8832,-0.9831,0.777
8848,-0.9330,0.777
8865,-0.8449,0.777
8881,-0.7242,0.777
8902,-0.5858,0.777
8914,-0.4164,0.777
8931,-0.2430,0.777
8947,0.0858,0.777
8964,0.2549,0.777
8977,0.4276,0.777
8995,0.5758,0.777
9007,0.7071,0.777
9023,0.8246,0.777
9037,0.9092,0.777
9057,0.9670,0.777
9068,0.9973,0.777
9083,0.9952,0.777
9099,0.9604,0.777
9114,0.8932,0.777
9129,0.8032,0.777
9144,0.6895,0.777
9160,0.5453,0.777
9175,0.3827,0.777
9190,0.2191,0.777
9205,0.0491,0.777
9220,-0.1346,0.777
9237,-0.3253,0.777
9253,-0.4929,0.777
9269,-0.6438,0.777
9286,-0.7807,0.777
9302,-0.8819,0.777
9318,-0.9569,0.777
9339,-0.9939,0.777
9351,-0.9963,0.777
9368,-0.9604,0.777
9384,-0.8932,0.777
9401,-0.7883,0.777
9417,-0.6532,0.777
9434,-0.5035,0.777
9450,-0.3253,0.777
9468,-0.1467,0.777
9482,0.1830,0.777
9501,0.3484,0.777
9513,0.5035,0.777
9533,0.6438,0.777
9543,0.7730,0.777
9562,0.8701,0.777
9573,0.9456,0.777
9588,0.9873,0.777
9603,0.9999,0.777
9622,0.9808,0.777
9634,0.9285,0.777
9651,0.8514,0.777
9665,0.7410,0.777
9680,0.6152,0.777
9697,0.4605,0.777
9716,0.3020,0.777
9726,0.1346,0.777
9741,-0.0491,0.777
9757,-0.2430,0.777
9774,-0.4164,0.777
9791,-0.5758,0.777
9810,-0.7242,0.777
9823,-0.8382,0.777
9841,-0.9285,0.777
9855,-0.9808,0.777
9876,-1.0000,0.777
9888,-0.9831,0.777
9904,-0.9285,0.777
9921,-0.8382,0.777
9944,-0.7242,0.777
9953,-0.5758,0.777
9970,-0.4164,0.777
9986,-0.2311,0.777
10002,0.0858,0.777
10018,0.2667,0.777
10034,0.4276,0.777
10048,0.5758,0.777
10064,0.7157,0.777
10078,0.8246,0.777
10093,0.9142,0.777
10108,0.9700,0.777
10123,0.9973,0.777
10139,0.9939,0.777
10155,0.9604,0.777
10169,0.8932,0.777
10185,0.8032,0.777
10200,0.6806,0.777
10216,0.5453,0.777
10231,0.3827,0.777
10250,0.2191,0.777
10261,0.0368,0.777
10286,-0.1346,0.777
10293,-0.3253,0.777
10315,-0.4929,0.777
10325,-0.6532,0.777
10344,-0.7807,0.777
10358,-0.8876,0.777
10374,-0.9569,0.777
10391,-0.9952,0.777
10407,-0.9963,0.777
10424,-0.9604,0.777
10440,-0.8876,0.777
10456,-0.7883,0.777
10473,-0.6532,0.777
10489,-0.5035,0.777
10506,-0.3253,0.777
10522,-0.1467,0.777
10538,0.1830,0.777
10558,0.3484,0.777
10568,0.5141,0.777
10584,0.6532,0.777
10598,0.7730,0.777
10614,0.8761,0.777
10629,0.9456,0.777
10644,0.9873,0.777
10659,0.9997,0.777
10675,0.9783,0.777
10691,0.9285,0.777
10706,0.8449,0.777
10721,0.7410,0.777
10736,0.6055,0.777
10751,0.4605,0.777
10767,0.2903,0.777
10785,0.1224,0.777
10797,-0.0491,0.777
10814,-0.2430,0.777
10829,-0.4164,0.777
10846,-0.5858,0.777
10862,-0.7242,0.777
10878,-0.8449,0.777
10895,-0.9285,0.777
10911,-0.9831,0.777
10927,-1.0000,0.777
10943,-0.9808,0.777
10964,-0.9239,0.777
10977,-0.8382,0.777
10993,-0.7157,0.777
11009,-0.5758,0.777
11029,-0.4052,0.777
11042,-0.2311,0.777
11058,0.0980,0.777
11073,0.2667,0.777
11094,0.4386,0.777
11104,0.5858,0.777
11120,0.7157,0.777
11134,0.8315,0.777
11150,0.9142,0.777
11164,0.9729,0.777
11180,0.9981,0.777
11195,0.9939,0.777
11215,0.9569,0.777
11225,0.8876,0.777
11241,0.7958,0.777
11256,0.6716,0.777
11271,0.5350,0.777
11287,0.3713,0.777
11302,0.2071,0.777
11317,0.0245,0.777
11333,-0.1467,0.777
11348,-0.3369,0.777
11365,-0.5035,0.777
11381,-0.6624,0.777
11397,-0.7883,0.777
11414,-0.8932,0.777
11433,-0.9604,0.777
11446,-0.9963,0.777
11463,-0.9952,0.777
11479,-0.9569,0.777
11506,-0.8876,0.777
11512,-0.7807,0.777
11529,-0.6438,0.777
11545,-0.4929,0.777
11561,-0.3137,0.777
11578,0.0000,0.777
11592,0.1589,0.777
11607,0.3369,0.777
11622,0.4929,0.777
11637,0.6438,0.777
11662,0.7652,0.777
11667,0.8640,0.777
11684,0.9415,0.777
11698,0.9853,0.777
11713,0.9999,0.777
11728,0.9831,0.777
11744,0.9330,0.777
11759,0.8514,0.777
11776,0.7491,0.777
11789,0.6152,0.777
11805,0.4714,0.777
11824,0.3137,0.777
11835,0.1346,0.777
11850,-0.0368,0.777
11869,-0.2311,0.777
11883,-0.4052,0.777
11902,-0.5758,0.777
11915,-0.7157,0.777
11932,-0.8382,0.777
11948,-0.9239,0.777
11967,-0.9808,0.777
11980,-0.9999,0.777
11997,-0.9831,0.777
12013,-0.9330,0.777
12031,-0.8449,0.777
12046,-0.7242,0.777
12062,-0.5858,0.777
12079,-0.4164,0.777
12095,-0.2430,0.777
12111,0.0858,0.777
12126,0.2549,0.777
12142,0.4276,0.777
12160,0.5758,0.777
12172,0.7071,0.777
12192,0.8246,0.777
12202,0.9092,0.777
12218,0.9700,0.777
12232,0.9973,0.777
12255,0.9952,0.777
12262,0.9604,0.777
12281,0.8987,0.777
12293,0.8032,0.777
12312,0.6895,0.777
12324,0.5453,0.777
12348,0.3827,0.777
12354,0.2191,0.777
12369,0.0491,0.777
12384,-0.1346,0.777
12401,-0.3137,0.777
12417,-0.4929,0.777
12435,-0.6438,0.777
12449,-0.7807,0.777
12466,-0.8819,0.777
12482,-0.9569,0.777
12500,-0.9939,0.777
12515,-0.9963,0.777
12531,-0.9604,0.777
12547,-0.8932,0.777
12564,-0.7883,0.777
12580,-0.6624,0.777
12597,-0.5035,0.777
12613,-0.3253,0.777
12629,-0.1467,0.777
12646,0.1710,0.777
12660,0.3484,0.777
12675,0.5035,0.777
12691,0.6532,0.777
12706,0.7730,0.777
12721,0.8701,0.777
12736,0.9456,0.777
12755,0.9873,0.777
12766,0.9999,0.777
12784,0.9808,0.777
12797,0.9285,0.777
12819,0.8514,0.777
12828,0.7410,0.777
12843,0.6152,0.777
12858,0.4605,0.777
12876,0.3020,0.777
12888,0.1346,0.777
12908,-0.0491,0.777
12920,-0.2430,0.777
12936,-0.4164,0.777
12952,-0.5758,0.777
12969,-0.7242,0.777
12985,-0.8382,0.777
13004,-0.9285,0.777
13017,-0.9808,0.777
13034,-1.0000,0.777
13050,-0.9831,0.777
13067,-0.9285,0.777
13083,-0.8382,0.777
13099,-0.7242,0.777
13120,-0.5758,0.777
13133,-0.4164,0.777
13148,-0.2311,0.777
13165,0.0858,0.777
13183,0.2667,0.777
13195,0.4276,0.777
13210,0.5758,0.777
13227,0.7157,0.777
13240,0.8246,0.777
13256,0.9142,0.777
13271,0.9700,0.777
13286,0.9973,0.777
13301,0.9939,0.777
13316,0.9604,0.777
13331,0.8932,0.777
13347,0.8032,0.777
13362,0.6806,0.777
13377,0.5453,0.777
13393,0.3827,0.777
13408,0.2191,0.777
13423,0.0368,0.777
13438,-0.1346,0.777
13455,-0.3253,0.777
13471,-0.4929,0.777
13487,-0.6532,0.777
13503,-0.7807,0.777
13520,-0.8876,0.777
13536,-0.9569,0.777
13553,-0.9952,0.777
13574,-0.9963,0.777
13589,-0.9604,0.777
13602,-0.8876,0.777
13618,-0.7883,0.777
13635,-0.6532,0.777
13651,-0.5035,0.777
13667,-0.3253,0.777
13683,-0.1467,0.777
13700,0.1830,0.777
13715,0.3484,0.777
13730,0.5141,0.777
13745,0.6532,0.777
13760,0.7730,0.777
13775,0.8761,0.777
13791,0.9456,0.777
13806,0.9873,0.777
13824,0.9997,0.777
13839,0.9783,0.777
13852,0.9285,0.777
13870,0.8449,0.777
13882,0.7410,0.777
13898,0.6055,0.777
13914,0.4605,0.777
13928,0.2903,0.777
13943,0.1224,0.777
13958,-0.0491,0.777
13975,-0.2430,0.777
13991,-0.4164,0.777
14007,-0.5858,0.777
14027,-0.7242,0.777
14040,-0.8449,0.777
14057,-0.9285,0.777
14072,-0.9831,0.777
14099,-1.0000,0.777
14105,-0.9808,0.777
14122,-0.9239,0.777
14138,-0.8382,0.777
14154,-0.7157,0.777
14171,-0.5758,0.777
14187,-0.4052,0.777
14203,-0.2311,0.777
14220,0.0980,0.777
14235,0.2667,0.777
14250,0.4386,0.777
14265,0.5858,0.777
14283,0.7242,0.777
14295,0.8315,0.777
14310,0.9142,0.777
14325,0.9729,0.777
14341,0.9981,0.777
14356,0.9939,0.777
14375,0.9569,0.777
14387,0.8876,0.777
14402,0.7958,0.777
14417,0.6716,0.777
14433,0.5350,0.777
14448,0.3713,0.777
14463,0.2071,0.777
14480,0.0245,0.777
14496,-0.1467,0.777
14510,-0.3369,0.777
14527,-0.5035,0.777
14542,-0.6624,0.777
14572,-0.7883,0.777
14575,-0.8932,0.777
14591,-0.9604,0.777
14607,-0.9963,0.777
14624,-0.9952,0.777
14640,-0.9569,0.777
14658,-0.8876,0.777
14673,-0.7807,0.777
14690,-0.6438,0.777
14706,-0.4929,0.777
14723,-0.3137,0.777
14739,0.0000,0.777
14754,0.1589,0.777
14768,0.3369,0.777
14783,0.4929,0.777
14798,0.6438,0.777
14814,0.7652,0.777
14828,0.8640,0.777
14845,0.9415,0.777
14859,0.9853,0.777
14874,0.9999,0.777
14889,0.9831,0.777
14905,0.9330,0.777
14920,0.8514,0.777
14939,0.7491,0.777
14951,0.6152,0.777
14966,0.4714,0.777
14981,0.3137,0.777
14996,0.1346,0.777
15011,-0.0368,0.777
15032,-0.2311,0.777
15044,-0.4052,0.777
15060,-0.5758,0.777
15076,-0.7157,0.777
15093,-0.8382,0.777
15109,-0.9239,0.777
15134,-0.9808,0.777
15142,-0.9999,0.777
15158,-0.9831,0.777
15174,-0.9330,0.777
15191,-0.8449,0.777
15207,-0.7242,0.777
15224,-0.5858,0.777
15245,-0.4164,0.777
15257,-0.2430,0.777
15284,0.0858,0.777
15288,0.2549,0.777
15303,0.4276,0.777
15318,0.5758,0.777
15334,0.7071,0.777
15349,0.8246,0.777
15364,0.9092,0.777
15379,0.9700,0.777
15394,0.9973,0.777
15409,0.9952,0.777
15425,0.9604,0.777
15440,0.8987,0.777
15455,0.8032,0.777
15471,0.6895,0.777
15486,0.5453,0.777
15501,0.3827,0.777
15517,0.2191,0.777
15532,0.0491,0.777
15547,-0.1346,0.777
15564,-0.3137,0.777
15580,-0.4929,0.777
15596,-0.6438,0.777
15612,-0.7807,0.777
15628,-0.8819,0.777
15645,-0.9569,0.777
15661,-0.9939,0.777
15678,-0.9963,0.777
15703,-0.9604,0.777
15715,-0.8932,0.777
15727,-0.7883,0.777
15744,-0.6624,0.777
15760,-0.5035,0.777
15776,-0.3253,0.777
15792,-0.1467,0.777
15809,0.1710,0.777
15824,0.3484,0.777
15839,0.5035,0.777
15854,0.6532,0.777
15869,0.7730,0.777
15884,0.8701,0.777
15902,0.9456,0.777
15915,0.9873,0.777
15933,0.9999,0.777
15946,0.9808,0.777
15964,0.9285,0.777
15976,0.8514,0.777
16002,0.7410,0.777
16007,0.6152,0.777
16022,0.4605,0.777
16042,0.3020,0.777
16052,0.1346,0.777
16067,-0.0491,0.777
16084,-0.2430,0.777
16100,-0.4164,0.777
16131,-0.5758,0.777
16132,-0.7242,0.777
16149,-0.8382,0.777
16165,-0.9285,0.777
16183,-0.9808,0.777
16198,-1.0000,0.777
16214,-0.9831,0.777
16230,-0.9285,0.777
16250,-0.8382,0.777
16263,-0.7242,0.777
16284,-0.5758,0.777
16296,-0.4164,0.777
16315,-0.2311,0.777
16329,0.0858,0.777
16344,0.2667,0.777
16359,0.4276,0.777
16374,0.5758,0.777
16389,0.7157,0.777
16404,0.8246,0.777
16420,0.9142,0.777
16439,0.9700,0.777
16450,0.9973,0.777
16467,0.9939,0.777
16481,0.9604,0.777
16504,0.8932,0.777
16511,0.8032,0.777
16526,0.6806,0.777
16541,0.5453,0.777
16557,0.3827,0.777
16572,0.2191,0.777
16587,0.0368,0.777
16602,-0.1346,0.777
16619,-0.3253,0.777
16635,-0.4929,0.777
16651,-0.6532,0.777
16667,-0.7807,0.777
16684,-0.8876,0.777
16700,-0.9569,0.777
16721,-0.9952,0.777
16733,-0.9963,0.777
16753,-0.9604,0.777
16766,-0.8876,0.777
16788,-0.7883,0.777
16799,-0.6532,0.777
16815,-0.5035,0.777
16831,-0.3253,0.777
16848,-0.1467,0.777
16864,0.1830,0.777
16879,0.3484,0.777
16894,0.5141,0.777
16909,0.6532,0.777
16924,0.7730,0.777
16940,0.8761,0.777
16955,0.9456,0.777
16970,0.9873,0.777
16985,0.9997,0.777
17004,0.9783,0.777
17016,0.9285,0.777
17033,0.8449,0.777
17047,0.7410,0.777
17062,0.6055,0.777
17077,0.4605,0.777
17097,0.2903,0.777
17107,0.1224,0.777
17123,-0.0491,0.777
17139,-0.2430,0.777
17167,-0.4164,0.777
17172,-0.5858,0.777
17190,-0.7242,0.777
17204,-0.8449,0.777
17220,-0.9285,0.777
17237,-0.9831,0.777
